country_name,continent,prevalence,tertile,RTDs/High-Strength Premixes,Processed Fruit and Vegetables,Processed Meat and Seafood,Ready Meals,"Rice, Pasta and Noodles","Sauces, Dressings and Condiments",Soup,Spreads,Chocolate Confectionery,Gum,Sugar Confectionery,Savoury Snacks,"Sweet Biscuits, Snack Bars and Fruit Snacks",Bottled Water,Carbonates,Concentrates,Juice,Sports and Energy Drinks,Coffee,Tea,Other Hot Drinks,Baked Goods,Breakfast Cereals,Butter and Margarine,Cheese,Edible Oils,Beer,Spirits,Wine,Eggs,Fish and Seafood,Fruits,Meat,Nuts,Pulses,Starchy Roots,Sugar and Sweeteners,Vegetables,Baby Food,Drinking Milk Products,Yoghurt and Sour Milk Products,Other Dairy,Ice Cream and Frozen Desserts,Cocoa Powder,Emulsifiers and Co-Emulsifiers,Fats and Oils,Flours,Milk
Viet Nam,Asia,0.0160478,1,0,101.6666667,388.3666667,55.3,5116.533333,3565.933333,0,16.36666667,38.1,76.53333333,523.1,481.4333333,516.5333333,3904.233333,4723.566667,1.833333333,746.5,1537.833333,625.4333333,167.7,118.6666667,1577.1,1.833333333,61.2,32.26666667,3979,17720.4,210.2333333,289.7333,2443.966667,11687.06667,48300.73333,35366.93333,11961.46667,1911.633333,47686.83333,9340.2,113147.6333,437.6333333,3850.766667,985.3666667,1310.933333,250.6,31.1,11.5,4284,3710.033333,5072.233333
India,Asia,0.0187863,1,5.866666667,37.83333333,12.46666667,13.86666667,1144.966667,209.1666667,3.3,16.86666667,41.33333333,17.53333333,101.3666667,222.7,867.6666667,1536.3,1706.566667,28.23333333,320.9333333,4.933333333,34.7,285.2,107.6333333,2109.4,7.4,488.2,43.36666667,2117.566667,1009.966667,1245.7,7.5333,1667.5,4439.1,34956.83333,3054.766667,11046.4,14405.73333,20240.8,10976.26667,68016.63333,39.43333333,9137.833333,263.7,52.53333333,117.8,13,12.06666667,2703.466667,1925.8,9495.366667
Japan,Asia,0.0448369,1,4773.366667,7882,31266.5,11406.53333,51489.86667,28564.6,960.5666667,584.9666667,1127.5,318.7,1799.966667,5384.233333,2149.366667,22010.03333,28788.46667,307.3333333,20492.8,14434.53333,1492.866667,954.0333333,115.8666667,22090.56667,233.7666667,1129.566667,1700.966667,6821.133333,50449.36667,8915.1,7246.0333,10332.16667,16464.86667,27402.76667,27295.76667,167.0333333,145.9333333,8128.233333,9640.866667,100732.6667,366.5,33589.8,9963.8,1775.833333,5336.266667,259.1,273.9333333,14994.76667,26887.76667,47567.5
Kenya,Africa,0.0464936,1,195.8666667,59.3,237.9,0,2079,129.7666667,9.633333333,23.96666667,43.16666667,24.63333333,112.3666667,116.3,251.2666667,5467.833333,7951.1,26.16666667,1128,33.06666667,24.63333333,509.6333333,55.16666667,3054.5,174.0333333,8216.5,6.566666667,3700.6,11499.1,308.8333333,453.4,846.3,697.6333333,3595.366667,3987,85.1,236.5,3440,3960.833333,5028.533333,52.93333333,11025.76667,512.7333333,0.866666667,142.5666667,10.3,57.76666667,10567.7,2527.933333,11461.53333
Indonesia,Asia,0.0468162,1,22,150.4666667,506.8,3.166666667,33005.63333,3054.8,1.566666667,61.6,246.4666667,39.83333333,619.1,1251,797.3666667,48291.76667,2537.766667,284.5,434.9666667,1033.833333,1070.633333,335.0333333,323.8,3154.5,19.06666667,197.4333333,50.7,4258.866667,632.4666667,17.66666667,80.5,3189.866667,21527.1,44705.4,8121.2,14525.16667,952.4666667,63010.36667,7605.2,39025.73333,644.5666667,1489.1,276.3,1462.966667,403.8,79.16666667,27.63333333,5130.233333,6929.6,2969.766667
China,Asia,0.0549624,1,13.5,489.5333333,2108.066667,372.5,7443.766667,5789.666667,1.566666667,113.6,60,90,1082,1170.5,1079.733333,12520.36667,7683.766667,3.633333333,5442.666667,652.1,28.63333333,233.8,716.8,3744.9,64.23333333,21,12.03333333,4669.8,28878.93333,2833.5,1868.4667,14555.5,21395.06667,94882,39899.73333,4144.266667,716.7333333,57375.56667,4935.166667,141560.1333,225.6333333,9707.733333,1889.8,48.93333333,2173.5,77.46666667,33.6,5639.366667,6677.033333,10232.66667
Pakistan,Asia,0.0590851,1,0,21.3,21.16666667,1.733333333,1102.9,96.06666667,1.766666667,20.13333333,45.8,55,181.0333333,141.7,845.2333333,1293.233333,4253.5,43.23333333,2327.1,1.266666667,10.56666667,1287.3,0.333333333,2417.566667,10.36666667,484.5,27.36666667,1999.066667,44.23333333,44.2,0,1583.333333,4573.133333,34952.03333,5162.633333,359.6666667,9908.866667,19497.66667,26243.43333,72780.13333,76.7,4773.133333,8.333333333,142.6,182.6,12.16666667,10.06666667,2664.633333,2006.133333,4857.6
Singapore,Asia,0.0632939,1,72.13333333,6534,5255.333333,889.4,42256.3,5492.866667,592.4,1147.466667,970.6333333,2.9,884.1333333,2654.5,2830.6,15262.16667,28420.8,343.9,16018.46667,5568.433333,1953.6,347.6,1935.433333,18112.6,707.0333333,1159.5,1395.6,10624.3,18441.86667,631.7666667,1468.6333,14890.03333,27870.2,72948.46667,60666.83333,7484.266667,4571.966667,14040.4,15196.96667,88776.16667,1150.8,21579.5,2841.2,4714.166667,4760.966667,280.5333333,134.4333333,14444.63333,17122.06667,26384
Philippines,Asia,0.0643574,1,49.3,1036.266667,3804.533333,122.3,3629.4,2680.766667,43.93333333,193.9,258.2666667,181.8333333,540.5666667,1917.2,712.2,40542.7,32445.3,207.0333333,4194.766667,566.3666667,333.8,25.7,392.8,3412.366667,141.6333333,808.3,570.4666667,4776.7,15565.3,5657.233333,105.6,4510.066667,30307.63333,66319.53333,25298.26667,6932.066667,2141.966667,26663.06667,11000.9,54906.13333,593.2666667,2673.333333,528.1666667,1094.933333,553.1666667,67.3,57.1,6523.7,4945.6,4197.366667
Nigeria,Africa,0.0704805,1,101.2666667,66.63333333,57.4,0,5092.2,2420.233333,8.766666667,19.46666667,6.766666667,51.8,334.4333333,69.83333333,414.6666667,90111.06667,6796.266667,17.53333333,1774.933333,703.5666667,5.5,19.53333333,274.7333333,3433.466667,224.6333333,129.7333333,0.766666667,536.2666667,7604.933333,892.2333333,154.9,2921.166667,3868.1,21170.03333,9295.633333,306.1333333,2913.2,13796.2,15551.03333,45772.3,160.7666667,531.6333333,314.8,940.7333333,99.96666667,44.03333333,35.86666667,988.7,3898.366667,1335.633333
Republic of Korea,Asia,0.0726492,1,76.83333333,2790,10688.66667,602.1333333,73856.06667,18892.16667,187,359.6,639.3666667,256.8,818.3,2653.3,1692.5,22669.6,24251.1,99.93333333,10476.63333,2565.133333,2032.133333,114.4666667,139.8333333,3420.366667,428.5,714.9333333,1433.566667,6631.433333,38133.86667,24353.53333,4946,10775.53333,49857.23333,52778.86667,42265.93333,7169.5,1661.466667,13568.96667,14738.1,75331.43333,434.2333333,31600.66667,6489.466667,323.1,4688.466667,108.5,129.4,10496.46667,14533.73333,35385.1
Taiwan,Asia,0.0837898,1,154.8,5410.733333,4694.6,5321.1,34733.23333,7667.333333,265.9666667,180.4666667,502.9333333,237.6,1406.233333,2452.833333,1173.4,25035.3,15391.73333,38.1,9529.5,4122.333333,486.9,270.8333333,340.1666667,7232.033333,568.2,481.9333333,427.9333333,11678.66667,21391.7,2491.966667,1083.2667,13602.2,50897.3,89829.16667,71357.2,7258.933333,1532.7,31209.03333,3266.733333,110252.1,892.7333333,24079.43333,5220.066667,1519.166667,1596.333333,152.1,83.76666667,14363.03333,10572.2,26402.9
Thailand,Asia,0.0878584,1,265.4,453.3666667,950.5333333,245.3333333,14231.23333,6168.333333,22.5,127.5333333,81.1,65.23333333,503.1333333,1043.533333,506.3333333,52776.36667,31791.26667,136.1,2771.333333,5893.633333,1190.7,39.26666667,352.5666667,2316.166667,52.36666667,130.2333333,90.76666667,7480.733333,31077.9,9215.166667,125.6333,1730.033333,22532.86667,70391.2,23481.96667,5945.5,4049.5,4797.966667,30846.9,37089.56667,1156.166667,10149.9,4577.433333,4127.766667,647.5333333,63.63333333,45.86666667,8105.4,3701.6,13473.66667
Cameroon,Africa,0.1111498,1,642.2666667,85.53333333,554.4666667,1,14759.03333,1678.166667,0.4,259.5333333,113.1,126.0333333,33.9,37,204.2,4435.233333,10134.7,77.03333333,187.9666667,3.9,1050.966667,88.93333333,88.6,1323.433333,29.83333333,275.8666667,25.33333333,403.0333333,22762.8,126.0666667,203.2333,3203.166667,4241.466667,22785.4,10225.23333,304.1333333,3194.4,15127.76667,17052.13333,50190.13333,176.9333333,355.9666667,62.63333333,195.4666667,185.6666667,40.9,19.36666667,936.7,5649.5,618.3333333
China (Hong Kong SAR),Asia,0.11538,1,56.96666667,8027.8,12330.73333,2516.633333,49718.9,7317.533333,1487.666667,965.8,1009.166667,233.6333333,1054.633333,2316.666667,1171.633333,37522.06667,33655.63333,243.9333333,14818.83333,2501.933333,1075.433333,537.7666667,789.3333333,12483.3,587,2613.266667,648.2,4477.7,22152.5,613.2333333,2667.5333,18867.9,35542.96667,76692.9,72316.2,6850.666667,1587.5,34344.9,3449.233333,103468.6333,1613.766667,23671.8,4305.433333,8133.133333,2327.4,208.3666667,184.8,10792.43333,14762.9,19926.8
